username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
trtnation;2015-09-01 11:33;0;0;"Human actions changing climate: Obama - http:// goo.gl/qj51Ov #Climate #Nature #BarackObama @BarackObama";;@BarackObama;#Climate #Nature #BarackObama;"638645941977812993";https://twitter.com/trtnation/status/638645941977812993
MaguireJude;2015-09-01 09:35;0;0;"At least @BarackObama is taking some sort of international leadership. Any momentum is good. #BarackObama in #Alaska http:// gu.com/p/4cxy3?CMP=Sh are_AndroidApp_Tweet …";;@BarackObama;#BarackObama #Alaska;"638616219696898048";https://twitter.com/MaguireJude/status/638616219696898048
BrotherJulius83;2015-09-01 04:04;0;1;"Wait. Did @KarlRove just admit Hawaii is a state AND #barackobama was born in it? Progress! @POTUS @BarackObama http:// talkingpointsmemo.com/livewire/karl- rove-obama-mckinley-hawaii …";;@KarlRove @POTUS @BarackObama;#barackobama;"638532851588288512";https://twitter.com/BrotherJulius83/status/638532851588288512
uinterview;2015-09-01 00:50;1;1;"President #BarackObama Restores #MountMcKinley To Orignal Name, #Deneli : http:// bit.ly/1hsFq8c @BarackObama pic.twitter.com/rHyfhg66zP";;@BarackObama;#BarackObama #MountMcKinley #Deneli;"638483908087164928";https://twitter.com/uinterview/status/638483908087164928
DigsbyMoose;2015-08-31 23:15;0;0;"How cool is this? #BarackObama to test survivor skills on @BearGrylls show http://www. bbc.co.uk/news/world-us- canada-34109681 … @BarackObama Will @Number10gov next?";;@BearGrylls @BarackObama @Number10gov;#BarackObama;"638460180460630016";https://twitter.com/DigsbyMoose/status/638460180460630016
sekai_no_sanada;2015-08-31 12:12;0;0;"@BarackObama You can change Hillary to become a warm woman ? #barackobama #climatechange #CleanPowerPlan";;@BarackObama;#barackobama #climatechange #CleanPowerPlan;"638293220888186880";https://twitter.com/sekai_no_sanada/status/638293220888186880
TonyPeaceGiver;2015-08-30 17:48;0;2;"Best Friends Forever !!! And ever... @BarackObama #barackobama #USA #peace #love #friends (RT and I follow you) Peace pic.twitter.com/CZNfmsaome";;@BarackObama;#barackobama #USA #peace #love #friends;"638015328887414784";https://twitter.com/TonyPeaceGiver/status/638015328887414784
sekai_no_sanada;2015-08-30 10:15;0;0;"@BarackObama Vice-president will change the political climate map ? #ClimateChange #CleanPowerPlan #BarackObama";;@BarackObama;#ClimateChange #CleanPowerPlan #BarackObama;"637901487897579520";https://twitter.com/sekai_no_sanada/status/637901487897579520
PerleenTx;2015-08-29 17:41;1;1;"@BarackObama #democrats #LiberalsUnite #barackobama THIS is the #America u created http:// universalfreepress.com/there-must-be- a-sacrifice-kill-a-white-person-then-upload-pic-of-corpse-to-social-media/#…";;@BarackObama;#democrats #LiberalsUnite #barackobama #America #;"637651321886109698";https://twitter.com/PerleenTx/status/637651321886109698
Randbreloaded;2015-08-29 06:42;0;0;"#BarackObama 8" x 10" Autographed Photograph http:// charitygrow.org/Listing/Detail s/584869/Barack-Obama-8-x-10-Autographed-Photograph#.VeE4D5hv2NY.twitter … @BarackObama @POTUS";;@BarackObama @POTUS;#BarackObama #;"637485460537901056";https://twitter.com/Randbreloaded/status/637485460537901056
Cadmo_FFC;2015-08-28 02:30;1;0;"@psouza99 @louzadanna KKKKKKKKKKKKKKKKKKKKKK #BrotaNoMiolo #ResenhaÉLixo #BarackObama @BarackObama @LulapeloBrasil @dilmabr @Cristiano";;@psouza99 @louzadanna @BarackObama @LulapeloBrasil @dilmabr @Cristiano;#BrotaNoMiolo #ResenhaÉLixo #BarackObama;"637059633883017216";https://twitter.com/Cadmo_FFC/status/637059633883017216
crazyhozay;2015-08-27 23:48;2;1;"#TeamRiley #OperationRileyMeetsthePresident #UCLA #MakeAWish #BarackObama @BarackObama pic.twitter.com/kfqnpY6VE0";;@BarackObama;#TeamRiley #OperationRileyMeetsthePresident #UCLA #MakeAWish #BarackObama;"637018958563049472";https://twitter.com/crazyhozay/status/637018958563049472
TwinSiSTAR;2015-08-27 23:34;0;1;"President @BarackObama , @POTUS Is The Best President In My Lifetime .... #CommanderInChief #BarackObama #PresidentBarackObama #Katrina10";;@BarackObama @POTUS;#CommanderInChief #BarackObama #PresidentBarackObama #Katrina10;"637015391076777988";https://twitter.com/TwinSiSTAR/status/637015391076777988
teaservedcold;2015-08-27 14:03;0;0;"#BarackObama , get on it!! 2016 is approaching!! @BarackObama https:// instagram.com/p/64tmN2QxTU/";;@BarackObama;#BarackObama;"636871732813504512";https://twitter.com/teaservedcold/status/636871732813504512
sekai_no_sanada;2015-08-26 15:59;0;0;"@BarackObama ♪ Obama left town behind the oil energy for clean energy ♪ #barackobama #ActOnClimate #CleanPowerPlan";;@BarackObama;#barackobama #ActOnClimate #CleanPowerPlan;"636538461277679616";https://twitter.com/sekai_no_sanada/status/636538461277679616
indyhawkins;2015-08-25 20:14;0;0;"Hey @BarackObama ask the Detroit Chief of Police what he thinks about gun control!! @WhiteHouse #barackobama #potus #liberallogic";;@BarackObama @WhiteHouse;#barackobama #potus #liberallogic;"636240138155134978";https://twitter.com/indyhawkins/status/636240138155134978
Kegan05;2015-08-24 18:11;2;1;"#QuinnipiacPoll : Would U vote a 3rd Term 4 #BarackObama ? FL OH PA NO! 71% 72% 74% @BarackObama @vj44 #FNC";;@BarackObama @vj44;#QuinnipiacPoll #BarackObama #FNC;"635846906195763200";https://twitter.com/Kegan05/status/635846906195763200
Sink1992;2015-08-24 01:59;0;0;"I feel like the people should go to the White House and evict @BarackObama right now!!!!!!! #DonaldTrump #foxnews #barackobama";;@BarackObama;#DonaldTrump #foxnews #barackobama;"635602344592347136";https://twitter.com/Sink1992/status/635602344592347136
BarryWTribute;2015-08-24 00:50;0;0;"Pls watch & retweet. My buddy with stage 4 cancer wants to meet President @BarackObama @MichelleObama #barackobama https://www. facebook.com/34552241559589 7/videos/532047076943429/?pnref=story …";;@BarackObama @MichelleObama;#barackobama;"635584813072691200";https://twitter.com/BarryWTribute/status/635584813072691200
