username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
1_gflame;2016-09-18 11:49;0;0;Want 2 b a gr8t leader? Follow @timkaine @SenatorReid @SenTedCruz @SenatorDurbin @SenatorTimScott @SenatorBoxer @SenatorKirk @SenatorShaheen;;@timkaine @SenatorReid @SenTedCruz @SenatorDurbin @SenatorTimScott @SenatorBoxer @SenatorKirk @SenatorShaheen;;7.77444E+17;https://twitter.com/1_gflame/status/777444347834949632;
tageborkoff;2016-09-18 10:07;0;0;@SenatorKirk , another one injured by guns in Chicago (Roseland) today. What will you do about it? http:// chicago.cbslocal.com/2016/09/17/12- wounded-in-chicago-weekend-shootings/ … #shootatweet;;@SenatorKirk;#shootatweet;7.77419E+17;https://twitter.com/tageborkoff/status/777418723674042368;
sagertaz;2016-09-18 09:36;0;0;"@SenatorKirk Please end dogmeat H.Res.752.Any society which does not insist upon respect for all life must necessarily decay."" Einstein""";;@SenatorKirk;;7.77411E+17;https://twitter.com/sagertaz/status/777411065428647937;
wolfpsy;2016-09-18 05:49;0;0;@SenatorKirk @SenatorDurbin @SenateMajLdr Retain control of ICANN, prevent TREASON. https:// twitter.com/avanconia/stat us/777353199233605632 …;;@SenatorKirk @SenatorDurbin @SenateMajLdr;;7.77354E+17;https://twitter.com/wolfpsy/status/777353896285003777;
PatriotGinger;2016-09-18 05:40;0;0;@SenatorKirk Another generation of parentless children destroying America. #DontDraftOurDaughters #PJNET http:// PatriotJournalist.com/DontDraftOurDa ughtersPix.php?GUID=57dd4e7a412df3.12437030_62 …;;@SenatorKirk;#DontDraftOurDaughters #PJNET;7.77351E+17;https://twitter.com/PatriotGinger/status/777351488729341952;
limodavid;2016-09-18 00:35;0;0;#truth the treasonous @SenatorKirk must get voted out! https:// twitter.com/pandorabalks/s tatus/777178948903903232 …;;@SenatorKirk;#truth;7.77275E+17;https://twitter.com/limodavid/status/777274918710882306;
googolbeast;2016-09-17 23:25;0;0;@sponges @SenatorKirk @MarkKirk @SenDonnelly https://www. duckduckgo.com/?q=jesus+made+ the+pope+retire+with+27000+celebrating+Shinto … http:// search.aol.com/search?q=jesus +made+the+pope+retire+with+27000+celebrating+Shinto … https:// search.yahoo.c;;@sponges @SenatorKirk @MarkKirk @SenDonnelly;#EU;7.77257E+17;https://twitter.com/googolbeast/status/777257283768070144;
jealvarezb343;2016-09-17 23:14;0;0;lia_fowler: FLOTUS POTUS JohnKerry MichelleObama SenatorKirk SenRubioPress SenatorMenendez RepByrne RepCurbelo https:// twitter.com/lia_fowler/sta tus/777252635254456320 …;;;;7.77254E+17;https://twitter.com/jealvarezb343/status/777254388612100096;
DrMyEyz;2016-09-17 22:24;0;0;https://twitter.com/AltRights/status/777232343165698048/photo/1 pic.twitter.com/xhFUitNxPV @JohnKasich @SenJohnMcCain @SenatorKirk @senrobportman @RepSteveChabot @TheDemocrats @SenateMajLdr On your watch!;;@JohnKasich @SenJohnMcCain @SenatorKirk @senrobportman @RepSteveChabot @TheDemocrats @SenateMajLdr;;7.77242E+17;https://twitter.com/DrMyEyz/status/777241892715200512;
DrMyEyz;2016-09-17 22:23;0;0;pic.twitter.com/SqzZaONuOG @WhiteHouse @TheDemocrats @HillaryClinton @SenatorKirk @SenJohnMcCain @SpeakerRyan You guys are allowing this here.;;@WhiteHouse @TheDemocrats @HillaryClinton @SenatorKirk @SenJohnMcCain @SpeakerRyan;;7.77242E+17;https://twitter.com/DrMyEyz/status/777241500035981313;
tageborkoff;2016-09-17 22:06;0;0;@SenatorKirk , another one injured by guns in Chicago today. What will you do about it? http:// chicago.suntimes.com/news/man-wound ed-in-homan-square-shooting-2/ … #shootatweet;;@SenatorKirk;#shootatweet;7.77237E+17;https://twitter.com/tageborkoff/status/777237417963073536;
AngelaBeckstein;2016-09-17 21:20;0;0;@SenatorKirk Ask the President to Preserve Parent Engagement and Local Flexibility;;@SenatorKirk;;7.77226E+17;https://twitter.com/AngelaBeckstein/status/777225815989694464;
ebizmaster;2016-09-17 20:31;0;0;In #Illinois , a landmark #Senate race between two physically #disabled candidates, @SenatorKirk & @RepDuckworth https://www. washingtonpost.com/politics/in-il linois-a-landmark-senate-race-between-two-physically-disabled-candidates/2016/09/17/08936d2a-5fdf-11e6-9d2f-b1a3564181a1_story.html …;;@SenatorKirk @RepDuckworth;#Illinois #Senate #disabled;7.77213E+17;https://twitter.com/ebizmaster/status/777213429291503617;
BlackheartBobby;2016-09-17 16:09;0;0;"@SenatorKirk What is going on with thw PAWS act; Puppies Assisting Wounded Servicemembers?";;@SenatorKirk;;7.77147E+17;https://twitter.com/BlackheartBobby/status/777147453887873024;
aws6845;2016-09-17 13:47;0;0;. @SenatorKirk Can we count on you to protect #OurWild from privatization? http:// ourwild.wilderness.org;;@SenatorKirk;#OurWild;7.77112E+17;https://twitter.com/aws6845/status/777111837514997765;
Praying4_IL;2016-09-17 12:49;0;0;Please pray today for: @RepKifowit , @RepKinzinger , @SenatorKirk http:// bit.ly/2cRIE88 #Pray4Leaders;;@RepKifowit @RepKinzinger @SenatorKirk;#Pray4Leaders;7.77097E+17;https://twitter.com/Praying4_IL/status/777097257313193984;
wolfpsy;2016-09-17 09:49;0;0;@RepCheri @SenatorKirk @SenatorDurbin @SpeakerRyan @SenateMajLdr @RepChaffetz @TGowdySC STOP THE TREASON! https:// twitter.com/bfraser747/sta tus/777022432817221632 …;;@RepCheri @SenatorKirk @SenatorDurbin @SpeakerRyan @SenateMajLdr @RepChaffetz @TGowdySC;;7.77052E+17;https://twitter.com/wolfpsy/status/777051929222406145;
zombiebaittom;2016-09-17 08:56;0;0;@SenatorKirk mr. Kirk we the American people do not want TTP do not let Obama swindle or persuade you;;@SenatorKirk;;7.77038E+17;https://twitter.com/zombiebaittom/status/777038463497416704;
gjzielinski;2016-09-17 04:58;0;0;@billmaher just referenced @SenatorKirk calling the president a drug dealer. Yay! #twill;;@billmaher @SenatorKirk;#twill;7.76979E+17;https://twitter.com/gjzielinski/status/776978525068730369;
