username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
tjohalloran;2016-10-22 18:40;2;1;"@ChrisVanHollen 37%+prem/ $1500+ded/fam policy, $ would be spent in our local economy but annual+ have made us make maj cutbacks #Obamacare pic.twitter.com/HP00Hp0tPx";;@ChrisVanHollen;#Obamacare;"789869129566126080";https://twitter.com/tjohalloran/status/789869129566126080
ron_germack;2016-10-22 04:58;3;4;"The rain couldn't stop me in Parkville today! @JohnSarbanes @ChrisVanHollen @HillaryClinton @Maryland_First pic.twitter.com/QnLwCOCwl4";;@JohnSarbanes @ChrisVanHollen @HillaryClinton @Maryland_First;;"789662081209499648";https://twitter.com/ron_germack/status/789662081209499648
Monet_A_Stevens;2016-10-21 20:38;6;11;"Another great day getting the word out for the Maryland Democrats, this time in Rosedale! @ChrisVanHollen @Call_Me_Dutch @Maryland_First pic.twitter.com/lBzR2M7z04";;@ChrisVanHollen @Call_Me_Dutch @Maryland_First;;"789536239003197440";https://twitter.com/Monet_A_Stevens/status/789536239003197440
weh8hillary;2016-10-21 19:38;0;0;"@TimWilsonCPA @BenSasse @benshapiro @cruesome @townhallcom @ChrisVanHollen @washingtonpost says MD POLL OFF BY 96% https://www. washingtonpost.com/news/the-fix/w p/2016/05/02/the-pollster-who-showed-a-candidate-up-29-points-before-he-lost-by-67/ … pic.twitter.com/AFl9TclaqN";;@TimWilsonCPA @BenSasse @benshapiro @cruesome @townhallcom @ChrisVanHollen @washingtonpost;;"789521219917746176";https://twitter.com/weh8hillary/status/789521219917746176
TimWilsonCPA;2016-10-21 18:36;0;1;"@weh8hillary @BenSasse @benshapiro @cruesome @townhallcom @ChrisVanHollen I'm sorry, but I'm going to have to say 'Scoreboard' to you.";;@weh8hillary @BenSasse @benshapiro @cruesome @townhallcom @ChrisVanHollen;;"789505764289196033";https://twitter.com/TimWilsonCPA/status/789505764289196033
weh8hillary;2016-10-21 18:32;0;0;"@TimWilsonCPA @BenSasse @benshapiro @cruesome @townhallcom @ChrisVanHollen pollsters can't get in touch w voters. Underestimating hate 4 HRC";;@TimWilsonCPA @BenSasse @benshapiro @cruesome @townhallcom @ChrisVanHollen;;"789504658356244480";https://twitter.com/weh8hillary/status/789504658356244480
Ocean_Frontiers;2016-10-21 16:23;0;0;"TY 4 your support of the Mid-Atlantic #Ocean Action Plan @RepDonaldPayne @ChrisVanHollen @cbrangel http:// buff.ly/2emtBSn #MidAOceanPlan";;@RepDonaldPayne @ChrisVanHollen @cbrangel;#Ocean #MidAOceanPlan;"789472069595623425";https://twitter.com/Ocean_Frontiers/status/789472069595623425
___lizzy___c;2016-10-20 21:08;0;0;". @chrisvanhollen : Thank you for sharing how you plan to fight extreme poverty if elected with #ONEVote16 !";;@chrisvanhollen;#ONEVote16;"789181591545188353";https://twitter.com/___lizzy___c/status/789181591545188353
dirt_plus;2016-10-20 15:32;1;1;"@ChrisVanHollen how can WSSC not recognize a Service Disabled Veteran Owned Small Business as MBE/DBE? Federal and local yes but not WSSC?!";;@ChrisVanHollen;;"789096943310016512";https://twitter.com/dirt_plus/status/789096943310016512
OldSaukRiver;2016-10-20 02:11;0;0;"In #Maryland senate race @BernieSanders think I can safely bet @MFlowers8 is a FAR better candidate than @TheDemocrats @ChrisVanHollen 1";;@BernieSanders @MFlowers8 @TheDemocrats @ChrisVanHollen;#Maryland;"788895322307108864";https://twitter.com/OldSaukRiver/status/788895322307108864
alexismichelle;2016-10-20 02:08;0;0;"Just met @ChrisVanHollen , was wearing my #NiUnaMenos shirt, and he seemed genuinely interested. Excited to vote for him!";;@ChrisVanHollen;#NiUnaMenos;"788894535761862656";https://twitter.com/alexismichelle/status/788894535761862656
Thomas2015Jq;2016-10-20 01:27;0;0;"It is Basic Management 101 that if you reward failure you are going ... #ChrisVanHollen #quotes https:// openquotes.github.io/authors/chris- van-hollen-quotes/#317dd624 …";;;#ChrisVanHollen #quotes #317dd624;"788884226125000704";https://twitter.com/Thomas2015Jq/status/788884226125000704
frankkklin27;2016-10-20 00:17;0;1;"Candidate for united states senate chrisvanhollen @1199seiu_mddc @… https://www. instagram.com/p/BLws0rnhY2nD Y5z1d3FX0w2wwUyOKnKiWQDczw0/ …";;@1199seiu_mddc @;;"788866575919046656";https://twitter.com/frankkklin27/status/788866575919046656
