username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;;
KShoieb;2016-11-07 20:53;7;3;Singularly effective work by @AdamGreen & @BoldProgressive to forge Dem consensus on debt-free college. Today, @SenSchumer declares support: pic.twitter.com/V074nd7o9o;;@AdamGreen @BoldProgressive @SenSchumer;;7.95716E+17;https://twitter.com/KShoieb/status/795715714959155201;;
agreenewyork;2016-11-07 20:19;3;3;. @SenSchumer @SenGillibrand @NYGovCuomo Help us! Stop the #NYNukePipe #StopSpectra https:// twitter.com/CompleteItCuom o/status/795687802490982400 …;;@SenSchumer @SenGillibrand @NYGovCuomo;#NYNukePipe #StopSpectra;7.95707E+17;https://twitter.com/agreenewyork/status/795707348849397764;;
matunos;2016-11-07 19:59;0;1;@WGrules88drools @SenSchumer @KT_thomps @FoxReports but they have a bad presidential outlook for the foreseeable future so i'm less concerned with nuking the filibuster for judicial appts;;@WGrules88drools @SenSchumer @KT_thomps @FoxReports;;7.95702E+17;https://twitter.com/matunos/status/795702326849740800;;
matunos;2016-11-07 19:59;0;2;@WGrules88drools @SenSchumer @KT_thomps @FoxReports they have a good senate landscape in 2018, i'm not sure blocking hurts them much politically;;@WGrules88drools @SenSchumer @KT_thomps @FoxReports;;7.95702E+17;https://twitter.com/matunos/status/795702147111264256;;
DropThe_Mic;2016-11-07 19:57;2;3;@WDFx2EU8 @NYCMayorsOffice @BilldeBlasio @NYGovCuomo @SenSchumer @SenGillibrand NEEDS 2B ADDRESSED IN MSM 6PM NEWS. OR MY STATE IS RIGGED;;@WDFx2EU8 @NYCMayorsOffice @BilldeBlasio @NYGovCuomo @SenSchumer @SenGillibrand;;7.95702E+17;https://twitter.com/DropThe_Mic/status/795701794844372992;;
POPVOX;2016-11-07 19:41;0;0;. @SenSchumer 's working on a Senate tax plan and it hinges on bipartisanship. #Congress #taxreform http://www. bloomberg.com/politics/artic les/2016-11-07/schumer-sees-path-to-senate-tax-deal-with-clinton-in-white-house …;;@SenSchumer;#Congress #taxreform;7.95698E+17;https://twitter.com/POPVOX/status/795697773551161345;;
Novogradac;2016-11-07 19:13;1;2;". @SenSchumer & @SpeakerRyan were negotiating overhaul of corporate tax rates at a pretty granular level"" before... http:// bloom.bg/2fxD6MC""";;@SenSchumer @SpeakerRyan;;7.95691E+17;https://twitter.com/Novogradac/status/795690533402329093;;
CompleteItCuomo;2016-11-07 19:02;6;3;The election sure is a time suck, eh? Meanwhile, #Spectra is about to flip the switch on the #NYNukePipe . Why isn't @SenSchumer doing more? pic.twitter.com/7lauA51W38;;@SenSchumer;#Spectra #NYNukePipe;7.95688E+17;https://twitter.com/CompleteItCuomo/status/795687802490982400;;
mstratford;2016-11-07 18:58;3;0;. @SenSchumer says in @BoldProgressive email that debt-free college will be “high on the agenda” if Dems take Senate: http:// politi.co/2fuYTIu;;@SenSchumer @BoldProgressive;;7.95687E+17;https://twitter.com/mstratford/status/795686909494362112;;
ciaogirl9;2016-11-07 18:35;0;0;Not a fan of @SenSchumer for knifing @POTUS at every opportunity. But #Blue is better. https:// twitter.com/lawrence/statu s/795667817072836608 …;;@SenSchumer @POTUS;#Blue;7.95681E+17;https://twitter.com/ciaogirl9/status/795681159527141376;;
PoliticsBuzzSaw;2016-11-07 18:16;0;0;@SenSchumer We need election libel laws that are a criminal offense that carry mandatory jail time and financial penalties. Stop the lying.;;@SenSchumer;;7.95676E+17;https://twitter.com/PoliticsBuzzSaw/status/795676245577056256;;
smendler;2016-11-07 18:07;0;0;@SenSchumer You're progressive? What's all this about corporate tax cuts, then? #ImConfused http://www. commondreams.org/views/2016/10/ 24/watch-out-coming-corporate-tax-break-trickery …;;@SenSchumer;#ImConfused;7.95674E+17;https://twitter.com/smendler/status/795674025586491394;;
SamSanderson123;2016-11-07 18:01;3;5;@Lawrence @SenSchumer Efforts of @jasoninthehouse & @FBI Comey's 2 stop Clinton's momentum > trying to put a woman in her place is a fail;;@Lawrence @SenSchumer @jasoninthehouse @FBI;;7.95672E+17;https://twitter.com/SamSanderson123/status/795672479872221184;;
JoAnneSimonBK52;2016-11-07 17:56;0;1;Hoping we take back the Senate, so that our Senator and my constituent @SenSchumer becomes Senate Majority Leader! https:// twitter.com/lawrence/statu s/795667817072836608 …;;@SenSchumer;;7.95671E+17;https://twitter.com/JoAnneSimonBK52/status/795671193290493953;;
Nazlinspired;2016-11-07 17:56;2;10;@Lawrence @SenSchumer Mazel Tov cocktail definitely in order, then.;;@Lawrence @SenSchumer;;7.95671E+17;https://twitter.com/Nazlinspired/status/795671170343374848;;
PosterityTitan;2016-11-07 17:54;0;0;@MelissaJaneSays I do not like this... @SenSchumer must be defeated tomorrow. pic.twitter.com/s21wvTcS8Y;;@MelissaJaneSays @SenSchumer;;7.95671E+17;https://twitter.com/PosterityTitan/status/795670798874935296;;
NeerSayNever;2016-11-07 17:53;0;1;@Lawrence @SenSchumer I doubt it. But if he does, maybe former aide Weiner will show up to take a selfie with him to commemorate the event.;;@Lawrence @SenSchumer;;7.9567E+17;https://twitter.com/NeerSayNever/status/795670474449711104;;
amtrakcndr;2016-11-07 17:52;0;0;@Lawrence @SenSchumer I Will claim those words. What a wonderful sound in my ears. Just 2 no Hillary will have help. Vote down ballot.;;@Lawrence @SenSchumer;;7.9567E+17;https://twitter.com/amtrakcndr/status/795670182752583680;;
Vanna_Black;2016-11-07 17:49;0;0;@Lawrence @SenSchumer who doesn't support people running in down ballot races. He will make a horrible majority leader.;;@Lawrence @SenSchumer;;7.9567E+17;https://twitter.com/Vanna_Black/status/795669553573466116;;
wcoast777;2016-11-07 17:46;1;6;. @Lawrence @SenSchumer Yeah, with huge lead. Why doesn't he share some of his war chest with other Dems? Patrick Murphy for instance?;;@Lawrence @SenSchumer;;7.95669E+17;https://twitter.com/wcoast777/status/795668731426803712;;
Petiesposse;2016-11-07 17:46;0;1;@Lawrence @SenSchumer From your mouth to whomever is in charge;;@Lawrence @SenSchumer;;7.95669E+17;https://twitter.com/Petiesposse/status/795668656931926017;;
bhandel58;2016-11-07 17:45;0;4;@Lawrence @SenSchumer this will make Ted Nugent's day;;@Lawrence @SenSchumer;;7.95668E+17;https://twitter.com/bhandel58/status/795668481425440769;;
bean2732;2016-11-07 17:44;1;4;@Lawrence @SenSchumer tCAN'T WAIT! DRAIN THE SWAMP;;@Lawrence @SenSchumer;;7.95668E+17;https://twitter.com/bean2732/status/795668286935629824;;
ProWaySteve;2016-11-07 17:44;0;9;@Lawrence @SenSchumer let us hope that becomes a fact. D's better go vote.;;@Lawrence @SenSchumer;;7.95668E+17;https://twitter.com/ProWaySteve/status/795668260914085888;;
LottieSpangler;2016-11-07 17:44;1;9;@Lawrence @SenSchumer Fingers crossed!;;@Lawrence @SenSchumer;;7.95668E+17;https://twitter.com/LottieSpangler/status/795668173018124288;;
Lawrence;2016-11-07 17:42;370;1328;Bio ad for @SenSchumer is surprisingly moving. Brooklyn kid (via Harvard) makes good. Now a day away from being 1st Jewish senate Leader.;;@SenSchumer;;7.95668E+17;https://twitter.com/Lawrence/status/795667817072836608;;
mikedarner;2016-11-07 17:39;1;0;In @BoldProgressive email, @SenSchumer says #Debtfree College, #publicoption , & expanding #SocialSecurity are on Senate Dem 2017 agenda.;;@BoldProgressive @SenSchumer;#Debtfree #publicoption #SocialSecurity;7.95667E+17;https://twitter.com/mikedarner/status/795666923841290240;;
InjuredBryd;2016-11-07 17:29;0;0;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer u GRASSLEY SCHUMER put killers Marsha hogs on me?;;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer;;7.95664E+17;https://twitter.com/InjuredBryd/status/795664499353198592;;
alanacosta81;2016-11-07 16:42;1;1;"Debt-free college will be high on the agenda"" if @TheDemocrats take control of Senate next year, @SenSchumer says @ACPA #sachat #highered""";;@TheDemocrats @SenSchumer @ACPA;#sachat #highered;7.95653E+17;https://twitter.com/alanacosta81/status/795652537286328320;;
politicony;2016-11-07 16:05;3;2;ICYMI: Can @senschumer set a record for the biggest landslide in New York State history? http:// politi.co/2eF4VoP pic.twitter.com/zJMELLtEQR;;@senschumer;;7.95643E+17;https://twitter.com/politicony/status/795643239369940994;;
Gnarlybark;2016-11-07 15:30;0;1;@TulsiGabbard @CoryBooker @SenWarren @donnabrazile @NancyPelosi @SenSchumer @SenWarren @HillaryClinton https:// twitter.com/JesseBenn/stat us/795630504083132416 …;;@TulsiGabbard @CoryBooker @SenWarren @donnabrazile @NancyPelosi @SenSchumer @SenWarren @HillaryClinton;;7.95635E+17;https://twitter.com/Gnarlybark/status/795634599183446017;;
OpticalSociety;2016-11-07 15:26;1;1;#ICYMI @senschumer & @ErnestMoniz recently visited @UofR Laboratory for #Laser Energetics http:// on.rocne.ws/2eAOvOr via @DandC;;@senschumer @ErnestMoniz @UofR @DandC;#ICYMI #Laser;7.95634E+17;https://twitter.com/OpticalSociety/status/795633576486244352;;
ajswern;2016-11-07 15:24;0;0;Campaigning @BkDemocrats @JoAnneSimonBK52 @RepJeffries @ReElectNydia @SenSchumer @HillaryClinton @RepYvetteClarke pic.twitter.com/6n7Z3fZb8s;;@BkDemocrats @JoAnneSimonBK52 @RepJeffries @ReElectNydia @SenSchumer @HillaryClinton @RepYvetteClarke;;7.95633E+17;https://twitter.com/ajswern/status/795633148759605248;;
HeidiHutner;2016-11-07 13:58;0;0;No #gas #pipeline belongs next to rad waste #cesium137 see the chart @SenSchumer @POTUS @HillaryClinton @NYGovCuomo pic.twitter.com/9MVW5GDPug;;@SenSchumer @POTUS @HillaryClinton @NYGovCuomo;#gas #pipeline #cesium137;7.95611E+17;https://twitter.com/HeidiHutner/status/795611325057662976;;
Reinlwapo;2016-11-07 13:50;0;1;. @SenSchumer adds debt free #college to his 2017 agenda http:// wpo.st/eQPC2 via @kelsey_snell @BoldProgressive;;@SenSchumer @kelsey_snell @BoldProgressive;#college;7.95609E+17;https://twitter.com/Reinlwapo/status/795609396776681472;;
PowerPost;2016-11-07 13:33;0;0;. @SenSchumer adds debt free #college to his 2017 agenda http:// wpo.st/eQPC2 via @kelsey_snell @BoldProgressive;;@SenSchumer @kelsey_snell @BoldProgressive;#college;7.95605E+17;https://twitter.com/PowerPost/status/795605030476910592;;
QuorumCall;2016-11-07 13:16;0;0;#Senate Eight Senate races considered to be in play http:// dlvr.it/McKHrz @SenSchumer;;@SenSchumer;#Senate;7.95601E+17;https://twitter.com/QuorumCall/status/795600774470324224;;
HeidiHutner;2016-11-07 13:11;0;1;@SenSchumer @NSVann @Waterkeeper @billmckibben @joshfoxfilm @DelRiverkeeper @350 @Earthjustice @MarkRuffalo @jonbowermaster @NaomiAKlein;;@SenSchumer @NSVann @Waterkeeper @billmckibben @joshfoxfilm @DelRiverkeeper @350 @Earthjustice @MarkRuffalo @jonbowermaster @NaomiAKlein;;7.956E+17;https://twitter.com/HeidiHutner/status/795599671435624448;;
gunpoliticsny;2016-11-07 13:05;0;0;Eight races in play on @SenSchumer 's quest to be majority leader - http:// buffalonews.com/2016/11/06/eig ht-races-play-schumers-quest-majority-leader/ …;;@SenSchumer;;7.95598E+17;https://twitter.com/gunpoliticsny/status/795598150073516033;;
PJConnolly;2016-11-07 13:04;0;0;Hi @SenSchumer , thanks to http:// makeussafer.org , I will support you because of your position on gun safety. #MakeUsSafer;;@SenSchumer;#MakeUsSafer;7.95598E+17;https://twitter.com/PJConnolly/status/795597825845395456;;
melissadderosa;2016-11-07 11:54;4;3;Gov Cuomo spent Sunday getting out the vote for @HillaryClinton @SenSchumer and dems running for Congress & State Senate pic.twitter.com/50cSIPkb4T;;@HillaryClinton @SenSchumer;;7.9558E+17;https://twitter.com/melissadderosa/status/795580265703870464;;
joseph12xu;2016-11-07 11:54;0;1;@JamesJFromLI no sweets, only coffee. And hate. Lots of hate. @SenSchumer;;@JamesJFromLI @SenSchumer;;7.9558E+17;https://twitter.com/joseph12xu/status/795580189753405440;;
joseph12xu;2016-11-07 11:51;1;1;@JamesJFromLI the pile of dogshit would be much less sneaky and corrupt than @SenSchumer .;;@JamesJFromLI @SenSchumer;;7.95579E+17;https://twitter.com/joseph12xu/status/795579452868726784;;
InjuredBryd;2016-11-07 10:10;0;0;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer LIKE minutes before Zach Carter ESQ encounter on Hunter;;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer;;7.95554E+17;https://twitter.com/InjuredBryd/status/795554097319514112;;
BlkIndParty;2016-11-07 06:28;0;0;A lot has happened @SenSchumer http:// buff.ly/2fuz4GD pic.twitter.com/jwiLBodr9Z;;@SenSchumer;;7.95498E+17;https://twitter.com/BlkIndParty/status/795498179676532736;;
susanborst;2016-11-07 04:36;0;0;"@SenSchumer fyi, for your ad campaign managers - Housewife"" is now ""Stay at home mom."" (a la ""stewardess"" is now ""flight attendant."")""";;@SenSchumer;;7.9547E+17;https://twitter.com/susanborst/status/795469911371956224;;
DCCyclone;2016-11-07 03:37;0;0;. @xenocryptsite @SenSchumer spending big $ on ads, @HillaryClinton election eve rally in NYC. That's it, New York must be a tossup.;;@xenocryptsite @SenSchumer @HillaryClinton;;7.95455E+17;https://twitter.com/DCCyclone/status/795455159518236673;;
ptmacdonald1;2016-11-07 03:37;0;0;@alfranken @SenSchumer I think you should move forward with an investigation on Comey. Yes that's asking a lot but it's right thing to do. https:// twitter.com/drudge_report/ status/795312551777079296 …;;@alfranken @SenSchumer;;7.95455E+17;https://twitter.com/ptmacdonald1/status/795455068367716352;;
OnstageBlog;2016-11-07 03:30;0;1;Who has more influence, @Lin_Manuel or Mitch McConnell? @SenSchumer or Andrew Lloyd Webber? @A_J_Piccione reports. http:// ow.ly/upYk305UzIj;;@Lin_Manuel @SenSchumer @A_J_Piccione;;7.95453E+17;https://twitter.com/OnstageBlog/status/795453275105624070;;
UniverseHeard;2016-11-07 02:41;0;0;TIL: @SenSchumer actually has to run for reelection and is not, as I had previously believed, a permanent fixture of LI HS graduations. https:// twitter.com/ForecasterEnte n/status/795436158142611461 …;;@SenSchumer;;7.95441E+17;https://twitter.com/UniverseHeard/status/795440936264355846;;
News_8;2016-11-07 02:39;0;4;. @SenSchumer holds a commanding 40+ point lead over @WendyLongNY in new @SienaCollege poll: http:// ow.ly/EC6K305UzCH;;@SenSchumer @WendyLongNY @SienaCollege;;7.95441E+17;https://twitter.com/News_8/status/795440545158070273;;
Band_of_Rebels;2016-11-07 02:09;1;0;@SenSchumer @SenGillibrand #ROC https:// twitter.com/renzyt/status/ 795430633556348928 …;;@SenSchumer @SenGillibrand;#ROC;7.95433E+17;https://twitter.com/Band_of_Rebels/status/795432846030684160;;
