# date;sentiment;objectivity;retweets;favourites
07.11.2016 17:32;0;0;0;0
07.11.2016 17:32;0;0;0;0
07.11.2016 17:29;0;0;1;1
07.11.2016 17:27;0;0;1;2
07.11.2016 17:26;0;0;78;273
07.11.2016 17:24;0.8;0.4;0;2
07.11.2016 17:18;0;0;41;37
07.11.2016 17:15;0;0;0;1
07.11.2016 17:14;-0.4;0.7;0;1
07.11.2016 17:11;0.1;0.1;6;0
07.11.2016 17:11;0;0;0;0
07.11.2016 17:05;-0.4;0.55;0;0
07.11.2016 17:02;0.25;0.25;2;3
07.11.2016 16:56;0;0;0;0
07.11.2016 16:56;0;0;0;0
07.11.2016 16:49;0;0;0;0
07.11.2016 16:47;0.7;0.7;0;0
07.11.2016 16:47;0.7;0.6;0;0
07.11.2016 16:46;0;0;0;1
07.11.2016 16:45;0;0;0;0
07.11.2016 16:43;0;0;1;2
07.11.2016 16:42;0;0;1;0
07.11.2016 16:36;0;0.5;7;6
07.11.2016 16:33;0;0;0;0
07.11.2016 16:33;0.425;0.533333333;1;4
07.11.2016 16:31;-0.1;0.583333333;0;0
07.11.2016 16:28;0;0;0;0
07.11.2016 16:28;0;0;0;0
07.11.2016 16:24;0;0;0;0
07.11.2016 16:21;0;0;0;2
07.11.2016 16:20;0;0;0;0
07.11.2016 16:18;0;0;0;1
07.11.2016 16:18;0;0;0;0
07.11.2016 16:15;0.9;1;0;2
07.11.2016 16:15;0.225;0.395;2;6
07.11.2016 16:11;0;0;0;3
07.11.2016 16:11;0.3;0.2;0;0
07.11.2016 16:09;0;0.6;0;1
07.11.2016 16:08;0.5;0.6;0;1
07.11.2016 16:07;0.4;0.8125;0;3
07.11.2016 16:01;0.6;1;1;0
07.11.2016 15:57;-0.5;1;0;1
07.11.2016 15:57;0;0;2;7
07.11.2016 15:56;-0.092307692;0.673076923;0;3
07.11.2016 15:54;0;0;0;0
07.11.2016 15:53;0;0;0;0
07.11.2016 15:51;0.1;1;0;0
07.11.2016 15:49;0;0;0;6
07.11.2016 15:48;-0.5;1;0;2
07.11.2016 15:47;0;0;0;0
07.11.2016 15:46;0.42;0.608333333;100;361
07.11.2016 15:27;-0.375;0.6;0;0
07.11.2016 15:21;0;0;3;3
07.11.2016 15:15;0;0.5;0;1
07.11.2016 15:15;0;0;0;0
07.11.2016 15:12;0;0;0;0
07.11.2016 15:11;0;0.75;0;1
07.11.2016 15:07;0.285714286;0.535714286;0;1
07.11.2016 15:07;-0.155555556;0.288888889;0;0
07.11.2016 15:05;0;0;0;0
07.11.2016 15:05;0;0;1;0
07.11.2016 15:03;0;0;1;0
07.11.2016 15:00;-0.45;0.6;0;0
07.11.2016 14:54;0;0;0;0
07.11.2016 14:51;0;0;0;0
07.11.2016 14:45;0;0;0;0
07.11.2016 14:44;0;0;0;0
07.11.2016 14:44;1;0.75;0;0
07.11.2016 14:40;0;0;0;0
07.11.2016 14:17;0;0;0;0
07.11.2016 14:10;0.233333333;0.766666667;0;0
07.11.2016 14:06;0;0;0;1
07.11.2016 14:00;-0.055555556;0.144444444;0;0
07.11.2016 13:57;-0.244140625;0.375;1;0
07.11.2016 13:55;0.5;0.5;0;0
07.11.2016 13:16;0;0;0;2
07.11.2016 13:16;-0.229166667;0.833333333;0;0
07.11.2016 13:13;0.35;0.65;0;1
07.11.2016 12:50;-0.291666667;0.541666667;1;1
07.11.2016 12:38;-1;1;0;3
07.11.2016 12:34;0.525;0.55;0;0
07.11.2016 12:19;0.1;0.2;0;0
07.11.2016 12:10;0;0;1;0
07.11.2016 12:06;0.7;0.6;0;0
07.11.2016 12:05;0.8;1;0;0
07.11.2016 11:58;0;0;0;0
07.11.2016 11:51;0;0;0;0
07.11.2016 11:50;0.1;0.15;0;0
07.11.2016 11:47;0;1;0;0
07.11.2016 11:28;0;0;0;1
07.11.2016 11:13;0.2;0.2;0;1
07.11.2016 11:02;-0.7;1;0;1
07.11.2016 10:47;0.3375;0.5125;0;0
07.11.2016 09:54;0;0;2;4
07.11.2016 09:31;0;0;1;0
07.11.2016 09:27;-0.155555556;0.288888889;3;4
07.11.2016 09:26;0;0;1;2
07.11.2016 09:24;0;0.7;0;0
07.11.2016 09:16;0;0;0;0
07.11.2016 09:11;0;1;0;0
07.11.2016 08:52;0;0;3;2
07.11.2016 08:40;0;0.625;0;1
07.11.2016 08:35;0;0;0;0
07.11.2016 08:34;0.285714286;0.535714286;0;0
07.11.2016 08:27;0;0.5;1;3
07.11.2016 08:07;0;0;0;1
07.11.2016 08:02;0;0;0;0
07.11.2016 08:02;0.35;0.55;0;0
07.11.2016 07:43;-0.125;0.125;0;0
07.11.2016 07:35;0;0;0;0
07.11.2016 07:29;0;0.1;1;1
07.11.2016 07:27;0.7;0.6;0;0
07.11.2016 06:46;0;0;0;0
07.11.2016 06:43;0;0;2;2
07.11.2016 06:39;0;0;1;2
07.11.2016 06:37;-0.183333333;0.383333333;0;0
07.11.2016 06:35;0;0;0;1
07.11.2016 06:30;0;0;0;2
07.11.2016 06:24;0;0;0;1
07.11.2016 06:21;-0.071428571;0.214285714;0;1
07.11.2016 06:21;-0.395833333;0.6875;0;1
07.11.2016 06:20;0;0;0;0
07.11.2016 06:20;0.075;0.4;0;1
07.11.2016 06:18;0.5;0.5;0;1
07.11.2016 06:16;-0.5;0.9;0;0
07.11.2016 06:15;0.25;0.5;1;1
07.11.2016 06:07;0;0;0;0
07.11.2016 06:00;0;0;1;0
07.11.2016 05:59;0;0;0;1
07.11.2016 05:57;-0.025;0.125;1;2
07.11.2016 05:56;-0.0625;0.3875;1;2
07.11.2016 05:55;0.1;0.75;0;0
07.11.2016 05:54;0;0;2;1
07.11.2016 05:52;-0.0625;0.1125;0;0
07.11.2016 05:51;0;0;0;1
07.11.2016 05:51;0.1;0.2;0;2
07.11.2016 05:50;0.166666667;0.666666667;2;4
07.11.2016 05:49;0;0;1;5
07.11.2016 05:49;0;0.75;0;1
07.11.2016 05:49;0.03125;0.45;0;3
07.11.2016 05:49;0.221428571;0.446428571;0;0
07.11.2016 05:48;0;0;2;0
07.11.2016 05:47;0.125;0.4;0;0
07.11.2016 05:47;0.5;0.5;0;0
07.11.2016 05:46;0.05;0.1;0;16
07.11.2016 05:46;-0.333333333;0.666666667;4;13
07.11.2016 05:46;0;0.1;0;1
07.11.2016 05:46;0.05;1;1;3
07.11.2016 05:46;0.125;0.575;0;4
07.11.2016 05:45;0;0;546;824
07.11.2016 05:34;0;0;0;0
07.11.2016 05:24;-0.4;0.7;0;0
07.11.2016 05:22;0.2275;0.4225;0;0
07.11.2016 05:22;0.45;0.875;0;0
07.11.2016 05:21;0;1;0;2
07.11.2016 05:19;0;0;1;1
07.11.2016 05:18;0;0;0;0
07.11.2016 05:09;0;0;0;1
07.11.2016 05:09;-0.125;0.4;0;0
07.11.2016 04:35;-0.016666667;0.233333333;0;0
07.11.2016 04:35;0.2;0.4;0;0
07.11.2016 04:26;0.2;0.2;7;5
07.11.2016 04:13;0;0.1;0;0
07.11.2016 04:10;0.5;0.5;0;0
07.11.2016 04:05;0;0;0;0
07.11.2016 03:59;0.5;0.888888889;1;0
07.11.2016 03:50;0;0;1;0
07.11.2016 03:47;0.8;1;0;0
07.11.2016 03:47;0;0;0;0
07.11.2016 03:44;0;0;0;1
07.11.2016 03:38;0.285714286;0.535714286;0;0
07.11.2016 03:37;0;0;29;32
07.11.2016 03:26;0;0;1;2
07.11.2016 03:22;0;0;0;0
07.11.2016 03:18;0;0;0;0
07.11.2016 03:14;-0.4;0.9;0;0
07.11.2016 03:12;0.35;0.55;0;0
07.11.2016 03:11;0.116666667;0.344444444;0;0
07.11.2016 03:07;0.2;0.2;1;10
07.11.2016 02:51;0;0;0;0
07.11.2016 02:51;0;0;0;1
07.11.2016 02:48;0;0;1;1
07.11.2016 02:48;0;0;0;0
07.11.2016 02:42;0;0;0;0
07.11.2016 02:34;0;0;0;1
07.11.2016 02:34;0;0;0;1
07.11.2016 02:30;0.25;1;0;1
07.11.2016 02:28;0;0.1;1;1
07.11.2016 02:08;0;0;0;0
07.11.2016 02:08;0;0;0;0
07.11.2016 01:54;0;0;4;3
07.11.2016 01:52;0;0;0;1
07.11.2016 01:50;0;0;4;4
07.11.2016 01:48;-0.75;0.9;2;0
07.11.2016 01:38;0.4375;0.65;0;1
07.11.2016 01:37;0;0;0;1
07.11.2016 01:33;-0.038461538;0.134615385;1;0
07.11.2016 01:26;0;0;0;1
07.11.2016 01:22;0;0;0;0
07.11.2016 01:21;-0.833333333;0.833333333;0;0
